地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
美国,813126,987322,30554,118781,55415,5.6%,32910,300
西班牙,85069,236199,2870,127609,23521,10%,4640,509
意大利,106103,197675,2324,64928,26644,13.5%,5920,334
法国,93649,162220,612,45681,22890,14.1%,6550,248
德国,30884,159103,1422,122167,6052,3.8%,8240,193
英国,131325,154037,4463,1918,20794,13.5%,6700,230
土耳其,78185,110130,2357,29140,2805,2.5%,8300,133
伊朗,14733,91472,1153,70933,5806,6.3%,8280,110
俄罗斯,79007,87147,6361,7346,794,0.9%,14390,61
巴西,28662,63100,8744,30152,4286,6.8%,21240,30
加拿大,27163,47147,1788,17321,2663,5.6%,3730,126
比利时,28602,46687,807,10878,7207,15.4%,1160,402
荷兰,33405,38245,655,322,4518,11.8%,1710,224
瑞士,5724,29164,167,21800,1640,5.6%,860,339
印度,20971,28380,2948,6523,886,3.1%,136870,2
秘鲁,18701,27517,2186,8088,728,2.6%,3290,84
葡萄牙,21742,24027,472,1357,928,3.9%,1030,233
厄瓜多尔,20777,22719,0,1366,576,2.5%,1710,133
爱尔兰,8942,19262,701,9233,1087,5.6%,480,401
瑞典,15647,18926,463,1005,2274,12%,1010,187
沙特阿拉伯,16136,18811,1223,2531,144,0.8%,3410,55
以色列,8468,15466,250,6796,202,1.3%,860,180
奥地利,2363,15274,77,12362,549,3.6%,880,174
墨西哥,4972,14677,970,8354,1351,9.2%,13230,11
新加坡,13351,14423,931,1060,12,0.1%,590,244
日本,10304,13600,247,2905,391,2.9%,12690,11
智利,6118,13331,473,7024,189,1.4%,1830,73
巴基斯坦,10111,13328,496,2936,281,2.1%,20460,7
波兰,8756,11761,328,2466,539,4.6%,3800,31
罗马尼亚,7567,11339,401,3141,631,5.6%,1950,58
白俄罗斯,9474,11289,873,1740,75,0.7%,940,120
卡塔尔,10168,11244,929,1066,10,0.1%,270,416
韩国,1731,10738,10,8764,243,2.3%,5130,21
阿联酋,8295,10349,536,1978,76,0.7%,970,107
印度尼西亚,7180,9096,275,1151,765,8.4%,26950,3
乌克兰,7925,9009,492,864,220,2.4%,4380,21
丹麦,2357,8773,198,5994,422,4.8%,580,151
塞尔维亚,6704,8042,263,1182,156,1.9%,870,92
菲律宾,6334,7777,285,932,511,6.6%,10810,7
挪威,7293,7527,6,32,202,2.7%,540,139
捷克,4587,7408,79,2600,221,3%,1060,70
澳大利亚,1051,6720,16,5586,83,1.2%,2510,27
多米尼加共和国,4947,6135,209,910,278,4.5%,1083.5,57
孟加拉国,5630,5913,418,131,152,2.6%,16470,4
马来西亚,1764,5820,38,3957,99,1.7%,3250,18
巴拿马,5276,5779,200,338,165,2.9%,420,138
哥伦比亚,4002,5379,237,1133,244,4.5%,4980,11
芬兰,2005,4695,101,2500,190,4%,560,84
南非,2986,4546,141,1473,87,1.9%,5810,8
埃及,3041,4534,227,1176,317,7%,10120,4
摩洛哥,3285,4115,158,669,161,3.9%,3660,11
阿根廷,2593,3892,173,1107,192,4.9%,4510,9
卢森堡,531,3723,12,3104,88,2.4%,60,621
摩尔多瓦,2382,3408,104,925,101,3%,400,85
