地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊,治愈死亡比
美国,834035,1036417,23167,143098,59284,5.7%,32910,315,2.4137710006072464
西班牙,102886,236108,2706,108947,24275,10.3%,4640,509,4.488032955715757
意大利,105205,201505,2091,68941,27359,13.6%,5920,340,2.519865492159801
法国,98964,169052,3210,46394,23694,14%,6550,258,1.9580484510846627
英国,138687,162350,1199,1918,21745,13.4%,6700,242,0.08820418487008508
德国,27738,160479,1289,126346,6395,4%,8240,195,19.756997654417514
土耳其,72852,114653,2392,38809,2992,2.6%,8300,138,12.970922459893048
俄罗斯,88141,99399,6411,10286,972,1%,14390,69,10.58230452674897
伊朗,13909,93657,1112,73791,5957,6.4%,8280,113,12.387275474231997
巴西,35608,73235,6398,32544,5083,6.9%,21240,34,6.402518197914618
加拿大,27977,50026,1158,19190,2859,5.7%,3730,134,6.712137110877929
比利时,29075,47859,647,11283,7501,15.7%,1160,413,1.5041994400746568
荷兰,33769,38802,195,322,4711,12.1%,1710,227,0.06835066864784546
印度,22983,31787,523,7796,1008,3.2%,136870,2,7.734126984126984
秘鲁,21157,31190,2491,9179,854,2.7%,3290,95,10.74824355971897
瑞士,5108,29407,100,22600,1699,5.8%,860,342,13.301942319011182
葡萄牙,22062,24505,295,1470,973,4%,1030,238,1.5107913669064748
厄瓜多尔,21864,24258,1018,1557,837,3.5%,1710,142,1.8602150537634408
沙特阿拉伯,18292,21402,1266,2953,157,0.7%,3410,63,18.808917197452228
瑞典,16835,20302,695,1005,2462,12.1%,1010,201,0.4082047116165719
爱尔兰,9485,19877,229,9233,1159,5.8%,480,414,7.96635030198447
墨西哥,3760,16752,852,11423,1569,9.4%,13230,13,7.2804333970681965
以色列,7641,15782,123,7929,212,1.3%,860,184,37.40094339622642
新加坡,14499,15641,528,1128,14,0.1%,590,265,80.57142857142857
奥地利,2043,15402,83,12779,580,3.8%,880,175,22.032758620689656
巴基斯坦,11529,15289,751,3425,335,2.2%,20460,7,10.223880597014926
智利,6448,14365,552,7710,207,1.4%,1830,78,37.2463768115942
日本,10494,14116,275,3187,435,3.1%,12690,11,7.326436781609195
白俄罗斯,11025,13181,919,2072,84,0.6%,940,140,24.666666666666668
卡塔尔,11311,12564,677,1243,10,0.1%,270,465,124.3
波兰,8784,12415,328,3025,606,4.9%,3800,33,4.991749174917492
罗马尼亚,7728,11978,277,3569,681,5.7%,1950,61,5.240822320117474
阿联酋,9110,11380,541,2181,89,0.8%,970,117,24.50561797752809
韩国,1593,10761,9,8922,246,2.3%,5130,21,36.26829268292683
乌克兰,8513,9866,401,1103,250,2.5%,4380,23,4.412
印度尼西亚,7596,9771,415,1391,784,8%,26950,4,1.774234693877551
丹麦,2302,9049,153,6313,434,4.8%,580,156,14.546082949308756
塞尔维亚,7259,8724,222,1292,173,2%,870,100,7.468208092485549
菲律宾,6631,8212,181,1023,558,6.8%,10810,8,1.8333333333333333
挪威,7381,7619,72,32,206,2.7%,540,141,0.1553398058252427
捷克,4329,7504,41,2948,227,3%,1060,71,12.986784140969164
孟加拉国,6790,7103,549,150,163,2.3%,16470,4,0.9202453987730062
澳大利亚,990,6746,11,5667,89,1.3%,2510,27,63.674157303370784
多米尼加共和国,4965,6416,123,1165,286,4.5%,1083.5,59,4.073426573426573
巴拿马,5540,6200,242,484,176,2.8%,420,148,2.75
哥伦比亚,4412,5949,352,1268,269,4.5%,4980,12,4.713754646840148
马来西亚,1758,5945,31,4087,100,1.7%,3250,18,40.87
埃及,3379,5042,248,1304,359,7.1%,10120,5,3.632311977715877
南非,2830,4996,247,2073,93,1.9%,5810,9,22.29032258064516
芬兰,1907,4906,45,2800,199,4.1%,560,88,14.07035175879397
摩洛哥,3232,4289,131,890,167,3.9%,3660,12,5.3293413173652695
阿根廷,2758,4127,111,1162,207,5%,4510,9,5.613526570048309
卢森堡,529,3741,12,3123,89,2.4%,60,624,35.08988764044944
科威特,2327,3740,152,1389,24,0.6%,420,89,57.875
阿尔及利亚,1561,3649,132,1651,437,12%,4270,9,3.7780320366132725
摩尔多瓦,2556,3638,157,975,107,2.9%,400,91,9.11214953271028
哈萨克斯坦,2280,3079,184,774,25,0.8%,1860,17,30.96
泰国,228,2947,7,2665,54,1.8%,6930,4,49.351851851851855
巴林,1518,2896,87,1370,8,0.3%,160,181,171.25
匈牙利,1891,2727,66,536,300,11%,970,28,1.7866666666666666
希腊,1851,2566,32,577,138,5.4%,1110,23,4.181159420289855
阿曼,1900,2274,82,364,10,0.4%,500,45,36.4
克罗地亚,707,2062,8,1288,67,3.2%,410,50,19.223880597014926
乌兹别克斯坦,906,1969,52,1055,8,0.4%,3280,6,131.875
阿富汗,1649,1938,125,231,58,3%,3680,5,3.9827586206896552
亚美尼亚,1002,1932,59,900,30,1.6%,290,67,30.0
伊拉克,519,1928,81,1319,90,4.7%,4040,5,14.655555555555555
喀麦隆,832,1806,84,915,59,3.3%,2405,8,15.508474576271187
冰岛,161,1795,3,1624,10,0.6%,30,598,162.4
阿塞拜疆,474,1717,39,1221,22,1.3%,1000,17,55.5
波斯尼亚和黑塞哥维那,902,1677,20,710,65,3.9%,350,48,10.923076923076923
加纳,1467,1671,121,188,16,1%,2950,6,11.75
爱沙尼亚,1376,1666,13,240,50,3%,130,128,4.8
尼日利亚,1233,1532,64,255,44,2.9%,20100,1,5.795454545454546
新西兰,226,1474,2,1229,19,1.3%,480,31,64.6842105263158
保加利亚,1133,1437,39,243,61,4.2%,700,21,3.9836065573770494
古巴,804,1437,20,575,58,4%,1122,13,9.913793103448276
北马其顿,761,1421,22,589,71,5%,210,68,8.295774647887324
斯洛文尼亚,1099,1418,6,230,89,6.3%,210,68,2.5842696629213484
波多黎各,1339,1416,0,-1,77,5.4%,341.1,42,0.012987012987012988
斯洛伐克,885,1391,3,484,22,1.6%,550,25,22.0
立陶宛,767,1375,0,563,45,3.3%,290,47,12.511111111111111
几内亚,964,1240,167,269,7,0.6%,1270,10,38.42857142857143
科特迪瓦,644,1183,14,525,14,1.2%,2490,5,37.5
吉布提,572,1072,37,498,2,0.2%,94,114,249.0
玻利维亚,888,1053,64,110,55,5.2%,1121,9,2.0
突尼斯,656,975,18,279,40,4.1%,1180,8,6.975
塞内加尔,558,882,87,315,9,1%,1670,5,35.0
拉脱维亚,486,849,18,348,15,1.8%,190,45,23.2
塞浦路斯,674,837,5,148,15,1.8%,120,70,9.866666666666667
阿尔巴尼亚,305,766,24,431,30,3.9%,290,26,14.366666666666667
安道尔,304,743,5,398,41,5.5%,7.3,1024,9.707317073170731
洪都拉斯,593,738,41,79,66,8.9%,911,8,1.196969696969697
吉尔吉斯斯坦,284,729,13,437,8,1.1%,640,11,54.625
黎巴嫩,547,721,7,150,24,3.3%,610,12,6.25
钻石公主号邮轮,54,712,0,645,13,1.8%,-1,-1,49.61538461538461
尼日尔,275,709,5,403,31,4.4%,2150,3,13.0
哥斯达黎加,393,705,2,306,6,0.9%,500,14,51.0
布基纳法索,120,638,3,476,42,6.6%,1919,3,11.333333333333334
乌拉圭,216,625,14,394,15,2.4%,350,18,26.266666666666666
斯里兰卡,481,622,25,134,7,1.1%,2100,3,19.142857142857142
圣马力诺,453,563,15,69,41,7.3%,3.2,1759,1.6829268292682926
危地马拉,479,557,30,62,16,2.9%,1658.2,3,3.875
索马里,481,528,44,19,28,5.3%,1518,3,0.6785714285714286
格鲁吉亚,343,517,15,168,6,1.2%,390,13,28.0
刚果,402,491,12,59,30,6.1%,8130,1,1.9666666666666666
坦桑尼亚,297,480,0,167,16,3.3%,5910,1,10.4375
马耳他,120,463,8,339,4,0.9%,40,116,84.75
马约特岛,221,460,59,235,4,0.9%,21.6,213,58.75
约旦,93,449,2,348,8,1.8%,1010,4,43.5
马里,278,424,19,122,24,5.7%,1951.7,2,5.083333333333333
留尼汪岛,118,418,1,300,-1,0%,82.7,51,300.0
肯尼亚,241,384,11,129,14,3.6%,5140,1,9.214285714285714
牙买加,345,381,14,29,7,1.8%,284,13,4.142857142857143
萨尔瓦多,262,377,22,106,9,2.4%,642,6,11.777777777777779
巴勒斯坦,258,343,1,83,2,0.6%,505.2,7,41.5
毛里求斯,21,334,0,303,10,3%,126,27,30.3
委内瑞拉,177,329,4,142,10,3%,3280,1,14.2
黑山,115,321,0,199,7,2.2%,62.2,52,28.428571428571427
苏丹,262,318,43,31,25,7.9%,4312,1,1.24
赤道几内亚,305,315,57,9,1,0.3%,130,24,9.0
马恩岛,36,309,1,252,21,6.8%,8.5,365,12.0
泽西岛,261,280,2,-1,19,6.8%,9.8,286,0.05263157894736842
越南,45,270,0,225,-1,0%,9740,0,225.0
马尔代夫,239,256,19,17,-1,0%,44,58,17.0
巴拉圭,128,239,2,102,9,3.8%,705.3,3,11.333333333333334
加蓬,182,238,35,53,3,1.3%,203,12,17.666666666666668
卢旺达,117,212,16,95,-1,0%,1200,2,95.0
根西岛,203,209,0,-1,6,2.9%,6.5,320,0.16666666666666666
刚果,180,207,7,19,8,3.9%,-1,-1,2.375
法罗群岛,9,187,0,178,-1,0%,4.8,386,178.0
马提尼克,84,175,0,77,14,8%,38,46,5.5
缅甸,128,150,3,16,6,4%,5288.5,0,2.6666666666666665
瓜德罗普岛,55,149,0,82,12,8.1%,40,37,6.833333333333333
利比里亚,80,141,9,45,16,11.3%,470,3,2.8125
直布罗陀,9,141,0,131,1,0.7%,3.4,410,131.0
关岛,39,141,0,97,5,3.5%,16.6,85,19.4
文莱,18,138,0,119,1,0.7%,40,35,119.0
埃塞俄比亚,69,130,2,58,3,2.3%,10500,0,19.333333333333332
马达加斯加,46,128,4,82,-1,0%,2520,1,82.0
法属圭亚那,31,125,13,93,1,0.8%,29,43,93.0
柬埔寨,3,122,0,119,-1,0%,1650,1,119.0
特立尼达和多巴哥,49,116,0,59,8,6.9%,121.8,10,7.375
佛得角,111,114,5,2,1,0.9%,54,21,2.0
百慕大群岛,60,110,1,44,6,5.5%,6.5,168,7.333333333333333
塞拉利昂,88,104,11,12,4,3.8%,760,1,3.0
阿鲁巴岛,25,100,0,73,2,2%,10.5,95,36.5
多哥,30,99,1,63,6,6.1%,425,2,10.5
摩纳哥,49,95,1,42,4,4.2%,3.8,248,10.5
赞比亚,50,95,6,42,3,3.2%,1760,1,14.0
列支敦士登,26,82,0,55,1,1.2%,3.8,216,55.0
巴哈马,46,80,0,23,11,13.8%,37.2,22,2.090909090909091
巴巴多斯,35,80,1,39,6,7.5%,28.1,28,6.5
乌干达,27,79,0,52,-1,0%,4430,0,52.0
海地,62,76,2,8,6,7.9%,1200,1,1.3333333333333333
莫桑比克,64,76,0,12,-1,0%,3050,0,12.0
圣马丁岛,29,75,1,33,13,17.3%,3.1,242,2.5384615384615383
圭亚那,51,74,0,15,8,10.8%,73.8,10,1.875
几内亚比绍,54,73,20,18,1,1.4%,160,5,18.0
