地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,死亡率,人口数（万）,每10万人确诊
美国,814569,1010356,21469,138990,56797,5.6%,32910,307
西班牙,105758,232128,9570,102548,23822,10.3%,4640,500
意大利,105813,199414,1739,66624,26977,13.5%,5920,337
法国,96343,165963,3742,46293,23327,14.1%,6550,253
德国,29083,159347,387,124069,6195,3.9%,8240,193
英国,135273,158348,4309,1918,21157,13.4%,6700,236
土耳其,75570,112261,2131,33791,2900,2.6%,8300,135
俄罗斯,84235,93558,6198,8456,867,0.9%,14390,65
伊朗,14268,92584,991,72439,5877,6.3%,8280,112
巴西,31701,67446,3714,31142,4603,6.8%,21240,32
加拿大,28507,49616,1814,18268,2841,5.7%,3730,133
比利时,29060,47334,553,10943,7331,15.5%,1160,408
荷兰,33584,38440,400,322,4534,11.8%,1710,225
印度,21898,29974,1561,7137,939,3.1%,136870,2
瑞士,5387,29264,103,22200,1677,5.7%,860,340
秘鲁,19492,28699,1182,8425,782,2.7%,3290,87
葡萄牙,21985,24322,163,1389,948,3.9%,1030,236
厄瓜多尔,21020,23240,521,1557,663,2.9%,1710,136
沙特阿拉伯,17151,20077,1289,2774,152,0.8%,3410,59
爱尔兰,9313,19648,386,9233,1102,5.6%,480,409
瑞典,16261,19621,286,1005,2355,12%,1010,194
以色列,8006,15589,68,7375,208,1.3%,860,181
墨西哥,5009,15529,835,9086,1434,9.2%,13230,12
奥地利,2208,15357,49,12580,569,3.7%,880,175
新加坡,13842,14951,799,1095,14,0.1%,590,253
巴基斯坦,10545,14079,605,3233,301,2.1%,20460,7
智利,6288,13813,482,7327,198,1.4%,1830,75
日本,10306,13618,175,2905,407,3%,12690,11
白俄罗斯,10136,12208,826,1993,79,0.6%,940,130
波兰,8864,12089,366,2655,570,4.7%,3800,32
卡塔尔,10777,11921,957,1134,10,0.1%,270,442
罗马尼亚,7562,11616,303,3404,650,5.6%,1950,60
阿联酋,9110,11380,490,2181,89,0.8%,970,117
韩国,1654,10752,14,8854,244,2.3%,5130,21
印度尼西亚,7484,9511,214,1254,773,8.1%,26950,4
乌克兰,8179,9410,392,992,239,2.5%,4380,21
丹麦,2480,8896,253,5994,422,4.7%,580,153
塞尔维亚,6904,8275,233,1209,162,2%,870,95
菲律宾,6453,7958,198,975,530,6.7%,10810,7
挪威,7362,7599,28,32,205,2.7%,540,141
捷克,4384,7449,56,2842,223,3%,1060,70
澳大利亚,1021,6731,9,5626,84,1.2%,2510,27
孟加拉国,6168,6462,497,139,155,2.4%,16470,4
多米尼加共和国,5018,6293,158,993,282,4.5%,1083.5,58
巴拿马,5399,6021,241,455,167,2.8%,420,143
马来西亚,1719,5851,40,4032,100,1.7%,3250,18
哥伦比亚,4211,5597,218,1133,253,4.5%,4980,11
南非,3230,4793,185,1473,90,1.9%,5810,8
埃及,3209,4782,215,1236,337,7%,10120,5
