地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,47,68128,0,63569,4512,-1,-1
广东省,49,1585,1,1528,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,11,1268,0,1256,1,-1,-1
中国香港,306,1035,2,725,4,-1,-1
湖南省,0,1019,0,1015,4,-1,-1
安徽省,0,991,0,985,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,430,928,3,485,13,-1,-1
山东省,14,787,0,766,7,-1,-1
江苏省,7,653,0,646,-1,-1,-1
上海市,87,641,1,547,7,-1,-1
北京市,61,593,0,524,8,-1,-1
重庆市,0,579,0,573,6,-1,-1
四川省,0,561,0,558,3,-1,-1
中国台湾,158,428,1,264,6,-1,-1
福建省,8,355,0,346,1,-1,-1
河北省,5,328,0,317,6,-1,-1
陕西省,23,279,0,253,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,55,197,0,142,-1,-1,-1
内蒙古自治区,85,194,0,108,1,-1,-1
天津市,7,189,0,179,3,-1,-1
云南省,4,184,0,178,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,0,147,0,145,2,-1,-1
辽宁省,1,146,0,143,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,8,108,1,99,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,18,45,0,27,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,750544,886709,32114,85922,50243,4640,269
西班牙,104885,219764,4635,92355,5.7%,5920,474
意大利,106848,189973,2646,57576,22524,6550,321
法国,95516,159460,1277,42088,10.2%,8240,243
德国,34189,153758,2410,114026,25549,6700,187
英国,118537,139246,4583,1918,13.4%,8300,208
土耳其,80808,101790,3116,18491,21856,8280,123
伊朗,16024,88194,1030,66596,13.7%,14390,107
俄罗斯,62439,68622,4774,5568,5543,21240,48
巴西,20132,50036,2756,26573,3.6%,1160,24
比利时,27492,44293,908,10122,18791,3730,382
加拿大,26284,43286,3688,14761,13.5%,1710,116
荷兰,31924,36535,887,322,2491,860,214
瑞士,6526,28677,228,20600,2.4%,136870,333
印度,17768,23502,1326,5012,5574,1030,2
葡萄牙,20715,22797,371,1228,6.3%,3290,221
秘鲁,12920,20914,1664,7422,615,480,64
爱尔兰,7580,17607,936,9233,0.9%,1010,367
