地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
湖北省,69,68128,0,63547,4512,-1,-1
广东省,57,1584,2,1519,8,-1,-1
河南省,0,1276,0,1254,22,-1,-1
浙江省,13,1268,0,1254,1,-1,-1
中国香港,353,1035,4,678,4,-1,-1
湖南省,0,1019,0,1015,4,-1,-1
安徽省,1,991,0,984,6,-1,-1
江西省,0,937,0,936,1,-1,-1
黑龙江省,426,925,4,486,13,-1,-1
山东省,14,787,0,766,7,-1,-1
江苏省,8,653,0,645,-1,-1,-1
上海市,100,640,1,533,7,-1,-1
北京市,63,593,0,522,8,-1,-1
重庆市,3,579,0,570,6,-1,-1
四川省,1,561,0,557,3,-1,-1
中国台湾,168,427,1,253,6,-1,-1
福建省,12,355,0,342,1,-1,-1
河北省,5,328,0,317,6,-1,-1
陕西省,23,279,2,253,3,-1,-1
广西壮族自治区,0,254,0,252,2,-1,-1
山西省,55,197,0,142,-1,-1,-1
内蒙古自治区,85,194,0,108,1,-1,-1
天津市,8,189,0,178,3,-1,-1
云南省,4,184,0,178,2,-1,-1
海南省,0,168,0,162,6,-1,-1
贵州省,0,147,0,145,2,-1,-1
辽宁省,1,146,0,143,2,-1,-1
甘肃省,0,139,0,137,2,-1,-1
吉林省,8,107,1,98,1,-1,-1
新疆维吾尔自治区,0,76,0,73,3,-1,-1
宁夏回族自治区,0,75,0,75,-1,-1,-1
中国澳门,19,45,0,26,-1,-1,-1
青海省,0,18,0,18,-1,-1,-1
西藏自治区,0,1,0,1,-1,-1,-1
美国,717361,849092,29958,84050,47681,4640,258
西班牙,101617,213024,4211,89250,5.6%,5920,459
意大利,107699,187327,3370,54543,22157,6550,316
法国,97880,159877,1827,40657,10.4%,8240,244
德国,34038,151761,2000,112320,25085,6700,184
英国,113477,133495,4451,1918,13.4%,8300,199
土耳其,79821,98674,3083,16477,21340,8280,119
伊朗,16702,87026,1194,64843,13.3%,14390,105
俄罗斯,57327,62773,5236,4891,5403,21240,44
巴西,18096,46348,2778,25318,3.6%,1160,22
比利时,26507,42797,933,9800,18100,3730,369
加拿大,24230,40190,489,13986,13.6%,1710,108
荷兰,31230,35729,708,322,2376,860,209
瑞士,7087,28496,205,19900,2.4%,1030,331
葡萄牙,20054,21982,603,1143,5481,136870,213
印度,16740,21797,1486,4376,6.3%,3290,2
秘鲁,11693,19250,1413,7027,555,1010,59
瑞典,14184,16755,682,550,0.9%,480,166
爱尔兰,6669,16671,631,9233,2934,880,347
奥地利,2756,15002,52,11694,6.3%,860,170
以色列,9067,14592,443,5334,6490,3410,170
沙特阿拉伯,10846,12772,1141,1812,15.2%,12690,37
日本,9909,12286,449,2069,1974,1830,10
智利,5750,11296,464,5386,4.9%,590,62
新加坡,10270,11178,1016,896,4177,1710,189
厄瓜多尔,9051,10850,452,1262,11.7%,5130,63
韩国,2051,10702,8,8411,1509,13230,21
墨西哥,6947,10544,729,2627,5.3%,20460,8
巴基斯坦,7952,10513,533,2337,785,3800,5
波兰,8171,10346,297,1740,3.6%,1950,27
罗马尼亚,7091,10096,468,2478,681,970,52
阿联酋,7063,8756,483,1637,3.1%,580,90
丹麦,2602,8073,201,5087,530,26950,139
印度尼西亚,6168,7775,283,960,2.8%,270,3
卡塔尔,7004,7764,608,750,2021,540,288
挪威,7119,7338,85,32,12.1%,940,136
白俄罗斯,6454,7281,558,769,769,4380,77
乌克兰,6479,7170,467,504,4.6%,1060,16
捷克,4924,7136,127,2002,552,870,67
塞尔维亚,5955,7114,224,1025,3.7%,10810,82
菲律宾,5797,6981,111,722,191,2510,6
澳大利亚,1544,6660,5,5041,1.3%,3250,27
马来西亚,1963,5603,50,3545,114,1083.5,17
多米尼加共和国,4459,5300,256,581,0.9%,420,49
巴拿马,4593,4992,163,255,308,4980,119
哥伦比亚,3280,4356,207,870,2.5%,560,9
芬兰,2135,4284,115,2000,160,16470,77
孟加拉国,3951,4186,390,108,1.4%,10120,3
埃及,2448,3659,157,935,12,60,4
卢森堡,2863,3654,36,711,0.1%,5810,609
南非,2515,3635,165,1055,537,3660,6
摩洛哥,2956,3537,191,430,4.9%,4510,10
阿根廷,2257,3288,113,872,240,4270,7
阿尔及利亚,1304,2910,99,1204,2.2%,6930,7
泰国,359,2839,15,2430,970,400,4
摩尔多瓦,2143,2778,164,560,9.2%,1110,69
希腊,1710,2408,7,577,224,420,22
科威特,1887,2399,168,498,2.1%,970,57
匈牙利,1655,2284,70,390,435,1860,24
哈萨克斯坦,1651,2207,80,536,4.2%,160,12
巴林,1008,2098,57,1082,527,410,131
克罗地亚,1033,1950,42,869,5.2%,30,48
冰岛,313,1785,7,1462,56,500,595
阿曼,1401,1716,106,307,0.6%,3280,34
乌兹别克斯坦,1259,1716,35,450,384,4040,5
伊拉克,402,1631,29,1146,4.8%,130,4
爱沙尼亚,1355,1592,7,192,647,290,122
亚美尼亚,840,1523,72,659,8.3%,1000,53
阿塞拜疆,591,1518,38,907,10,480,15
新西兰,370,1451,6,1065,0.1%,350,30
波斯尼亚和黑塞哥维那,874,1413,26,485,187,290,40
立陶宛,961,1398,20,399,2.5%,341.1,48
波多黎各,1311,1378,80,-1,58,210,40
