地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡,人口数（万）,每10万人确诊
美国,763109,925758,43885,110432,52217=5.6%,32910,281
西班牙,105149,223759,6740,95708,22902=10.2%,4640,482
意大利,106527,192994,3021,60498,25969=13.5%,5920,326
法国,94090,159828,368,43493,22245=13.9%,6550,244
德国,33731,155931,2169,116362,5838=3.7%,8240,189
英国,123151,144635,5386,1918,19566=13.5%,6700,216
土耳其,80575,104912,3122,21737,2600=2.5%,8300,126
伊朗,15485,89328,1168,68193,5650=6.3%,8280,108
俄罗斯,67657,74588,5849,6250,681=0.9%,14390,52
巴西,22684,54043,6647,27655,3704=6.9%,21240,25
比利时,27993,45327,1496,10417,6917=15.3%,1160,391
加拿大,27093,44856,1176,15469,2294=5.1%,3730,120
荷兰,32101,36727,806,322,4304=11.7%,1710,215
瑞士,6301,28894,181,21000,1593=5.5%,860,336
印度,18252,24530,1705,5498,780=3.2%,136870,2
葡萄牙,20715,22797,444,1228,854=3.7%,1030,221
厄瓜多尔,20777,22719,11536,1366,576=2.5%,1710,133
秘鲁,13518,21648,734,7496,634=2.9%,3290,66
爱尔兰,7937,18184,577,9233,1014=5.6%,480,379
瑞典,14865,17567,812,550,2152=12.3%,1010,174
沙特阿拉伯,13948,16299,1172,2215,136=0.8%,3410,48
奥地利,2509,15148,69,12103,536=3.5%,880,172
以色列,8791,15148,290,6159,198=1.3%,860,176
墨西哥,9024,12872,1089,2627,1221=9.5%,13230,10
日本,10110,12863,301,2408,345=2.7%,12690,10
新加坡,11725,12693,897,956,12=0.1%,590,215
智利,5805,12306,494,6327,174=1.4%,1830,67
巴基斯坦,8932,11940,344,2755,253=2.1%,20460,6
波兰,8442,11067,413,2126,499=4.5%,3800,29
韩国,1843,10718,10,8635,240=2.2%,5130,21
罗马尼亚,7170,10635,321,2890,575=5.4%,1950,55
白俄罗斯,7950,9590,751,1573,67=0.7%,940,102
卡塔尔,8419,9358,761,929,10=0.1%,270,347
阿联酋,7457,9281,525,1760,64=0.7%,970,96
印度尼西亚,6845,8607,436,1042,720=8.4%,26950,3
丹麦,2290,8408,137,5715,403=4.8%,580,145
乌克兰,7142,8125,477,782,201=2.5%,4380,19
塞尔维亚,6245,7483,207,1094,144=1.9%,870,86
挪威,7232,7463,63,32,199=2.7%,540,138
菲律宾,6008,7294,211,792,494=6.8%,10810,7
捷克,4669,7273,52,2389,215=3%,1060,69
澳大利亚,1258,6695,14,5357,80=1.2%,2510,27
多米尼加共和国,4719,5749,206,763,267=4.6%,1083.5,53
马来西亚,1882,5742,88,3762,98=1.7%,3250,18
巴拿马,4865,5338,174,319,154=2.9%,420,127
孟加拉国,4746,4998,503,112,140=2.8%,16470,3
哥伦比亚,3653,4881,320,1003,225=4.6%,4980,10
芬兰,1798,4475,111,2500,177=4%,560,80
南非,2668,4220,318,1473,79=1.9%,5810,7
埃及,2723,4092,232,1075,294=7.2%,10120,4
摩洛哥,3232,3889,155,498,159=4.1%,3660,11
卢森堡,603,3695,30,3007,85=2.3%,60,616
阿根廷,2455,3607,147,976,176=4.9%,4510,8
阿尔及利亚,1304,3127,120,1408,415=13.3%,4270,7
摩尔多瓦,2268,3110,184,755,87=2.8%,400,78
泰国,309,2907,15,2547,51=1.8%,6930,4
科威特,2217,2892,215,656,19=0.7%,420,69
哈萨克斯坦,1871,2525,125,629,25=1%,1860,14
巴林,1397,2518,119,1113,8=0.3%,160,157
希腊,1783,2490,27,577,130=5.2%,1110,22
匈牙利,1723,2443,99,458,262=10.7%,970,25
克罗地亚,976,2009,28,982,51=2.5%,410,49
阿曼,1566,1905,74,329,10=0.5%,500,38
乌兹别克斯坦,1207,1836,62,621,8=0.4%,3280,6
冰岛,270,1789,0,1509,10=0.6%,30,596
伊拉克,418,1708,31,1204,86=5%,4040,4
亚美尼亚,846,1677,73,803,28=1.7%,290,58
爱沙尼亚,1361,1635,13,228,46=2.8%,130,126
阿塞拜疆,558,1592,44,1013,21=1.3%,1000,16
阿富汗,1228,1463,51,188,47=3.2%,3680,4
新西兰,325,1461,5,1118,18=1.2%,480,30
喀麦隆,719,1430,96,668,43=3%,2405,6
立陶宛,925,1426,12,460,41=2.9%,290,49
波斯尼亚和黑塞哥维那,828,1421,8,538,55=3.9%,350,41
波多黎各,1347,1416,0,-1,69=4.9%,341.1,42
斯洛文尼亚,1088,1388,7,219,81=5.8%,210,66
斯洛伐克,970,1373,35,386,17=1.2%,550,25
北马其顿,932,1326,26,337,57=4.3%,210,63
古巴,820,1285,46,416,49=3.8%,1122,11
加纳,1135,1279,125,134,10=0.8%,2950,4
保加利亚,983,1234,90,197,54=4.4%,700,18
尼日利亚,855,1095,108,208,32=2.9%,20100,1
科特迪瓦,644,1077,52,419,14=1.3%,2490,4
吉布提,633,1008,13,373,2=0.2%,94,107
几内亚,757,954,101,191,6=0.6%,1270,8
突尼斯,690,922,9,194,38=4.1%,1180,8
玻利维亚,709,807,31,54,44=5.5%,1121,7
拉脱维亚,525,804,6,267,12=1.5%,190,42
塞浦路斯,692,804,5,98,14=1.7%,120,67
安道尔,347,731,0,344,40=5.5%,7.3,1007
阿尔巴尼亚,282,712,15,403,27=3.8%,290,25
钻石公主号邮轮,54,712,0,645,13=1.8%,-1,-1
黎巴嫩,537,704,8,143,24=3.4%,610,12
哥斯达黎加,465,687,0,216,6=0.9%,500,14
尼日尔,368,681,9,289,24=3.5%,2150,3
吉尔吉斯斯坦,312,665,25,345,8=1.2%,640,10
布基纳法索,163,629,7,425,41=6.5%,1919,3
塞内加尔,331,614,66,276,7=1.1%,1670,4
洪都拉斯,478,591,43,58,55=9.3%,911,6
乌拉圭,182,563,8,369,12=2.1%,350,16
圣马力诺,409,513,0,64,40=7.8%,3.2,1603
巴勒斯坦,388,484,0,92,4=0.8%,505.2,10
格鲁吉亚,319,456,11,132,5=1.1%,390,12
马耳他,195,448,2,249,4=0.9%,40,112
