地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,9605,67798,4,55094,3099
广东省,47,1361,4,1306,8
河南省,1,1273,0,1250,22
浙江省,17,1231,0,1213,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,7,760,0,746,7
江苏省,0,631,0,631,-
重庆市,0,576,0,570,6
四川省,20,539,0,516,3
黑龙江省,15,482,0,454,13
北京市,84,452,4,360,8
上海市,27,355,2,325,3
河北省,2,318,0,310,6
福建省,0,296,0,295,1
广西壮族自治区,3,252,0,247,2
陕西省,11,245,0,232,2
云南省,1,175,1,172,2
海南省,2,168,0,160,6
中国香港,60,148,7,84,4
贵州省,0,146,0,144,2
天津市,0,136,0,133,3
甘肃省,40,133,1,91,2
山西省,0,133,0,133,-
辽宁省,10,125,0,114,1
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,0,75,0,75,-
内蒙古自治区,3,75,0,71,1
中国台湾,38,59,6,20,1
青海省,0,18,0,18,-
中国澳门,1,11,0,10,-
西藏自治区,0,1,0,1,-
意大利,21163,24938,3781,1966,1809
伊朗,8624,13938,1209,4590,724
韩国,7447,8236,74,714,75
西班牙,7035,7844,1451,517,292
德国,5751,5813,1228,49,13
法国,5284,5423,923,12,127
美国,3656,3774,704,56,62
瑞士,2199,2217,1061,4,14
英国,1342,1395,255,18,35
挪威,1252,1256,57,1,3
荷兰,1113,1135,155,2,20
瑞典,1036,1040,31,1,3
比利时,881,886,197,1,4
丹麦,863,864,26,1,-
日本,659,818,32,135,24
奥地利,793,800,151,6,1
钻石公主号邮轮,315,712,15,390,7
马来西亚,393,428,39,35,-
卡塔尔,397,401,64,4,-
澳大利亚,323,355,50,27,5
希腊,319,331,103,8,4
加拿大,301,313,61,11,1
捷克,253,253,64,-,-
芬兰,239,240,16,1,-
新加坡,121,226,14,105,-
巴林,143,221,3,77,1
以色列,196,200,17,4,-
