地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,9605,67798,4,55094,3099
广东省,47,1361,2,1306,8
河南省,1,1273,0,1250,22
浙江省,17,1231,4,1213,1
湖南省,0,1018,0,1014,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,10,760,0,743,7
江苏省,0,631,0,631,-
重庆市,0,576,0,570,6
四川省,20,539,0,516,3
黑龙江省,15,482,0,454,13
北京市,80,446,4,358,8
上海市,28,355,2,324,3
河北省,2,318,0,310,6
福建省,0,296,0,295,1
广西壮族自治区,3,252,0,247,2
陕西省,11,245,0,232,2
云南省,1,175,1,172,2
海南省,2,168,0,160,6
中国香港,60,148,7,84,4
贵州省,1,146,0,143,2
天津市,0,136,0,133,3
甘肃省,40,133,3,91,2
山西省,0,133,0,133,-
辽宁省,10,125,0,114,1
吉林省,0,93,0,92,1
新疆维吾尔自治区,0,76,-,73,3
宁夏回族自治区,2,75,0,73,-
内蒙古自治区,3,75,0,71,1
中国台湾,38,59,0,20,1
青海省,0,18,0,18,-
中国澳门,1,11,1,10,-
西藏自治区,0,1,-,1,-
意大利,21163,24938,3781,1966,1809
伊朗,8624,13938,1209,4590,724
韩国,7450,8236,74,714,72
西班牙,6948,7753,2184,517,288
法国,5284,5423,923,12,127
德国,5084,5142,253,49,9
美国,3381,3499,704,56,62
瑞士,1546,1563,324,4,13
英国,1319,1372,232,18,35
挪威,1195,1199,0,1,3
荷兰,1113,1135,155,2,20
瑞典,990,992,147,-,2
比利时,881,886,197,1,4
丹麦,863,864,26,1,-
日本,658,817,0,135,24
奥地利,793,800,151,6,1
钻石公主号邮轮,315,712,15,390,7
马来西亚,393,428,39,35,-
卡塔尔,333,337,58,4,-
希腊,319,331,103,8,4
加拿大,301,313,61,11,1
澳大利亚,267,299,50,27,5
捷克,253,253,64,-,-
芬兰,239,240,16,1,-
新加坡,121,226,14,105,-
巴林,154,214,0,60,-
以色列,196,200,17,4,-
斯洛文尼亚,180,181,40,-,1
巴西,175,176,55,1,-
爱尔兰,168,169,40,-,1
葡萄牙,167,169,0,2,-
冰岛,156,156,19,-,-
菲律宾,126,140,12,2,12
爱沙尼亚,135,135,26,-,-
埃及,103,126,16,21,2
罗马尼亚,117,123,39,6,-
印度尼西亚,111,117,35,2,4
泰国,78,114,32,35,1
科威特,103,112,8,9,-
印度,95,107,9,10,2
沙特阿拉伯,102,103,17,1,-
黎巴嫩,95,99,6,1,3
伊拉克,60,93,10,24,9
阿联酋,63,86,0,23,-
智利,75,75,14,-,-
圣马力诺,66,73,11,2,5
秘鲁,71,71,43,-,-
波兰,67,68,17,-,1
俄罗斯,55,63,4,8,-
南非,61,61,10,-,-
斯洛伐克,61,61,17,-,-
卢森堡,58,59,33,-,1
墨西哥,52,53,12,1,-
越南,37,53,5,16,-
巴基斯坦,50,52,19,2,-
文莱,50,50,10,-,-
阿尔及利亚,32,48,11,12,4
塞尔维亚,46,46,5,-,-
阿根廷,42,45,11,1,2
保加利亚,43,43,0,-,-
巴拿马,42,43,7,-,1
阿尔巴尼亚,38,38,5,-,-
克罗地亚,35,37,6,2,-
巴勒斯坦,35,35,4,-,-
匈牙利,30,32,7,1,1
格鲁吉亚,30,30,5,-,-
摩洛哥,26,28,10,1,1
白俄罗斯,24,27,15,3,-
拉脱维亚,26,26,9,-,-
厄瓜多尔,22,23,3,-,1
哥伦比亚,22,22,6,-,-
哥斯达黎加,22,22,9,-,-
阿曼,12,21,1,9,-
塞浦路斯,21,21,11,-,-
塞内加尔,19,21,11,2,-
阿塞拜疆,12,19,2,6,1
北马其顿,18,18,6,-,-
土耳其,18,18,12,-,-
马耳他,18,18,0,-,-
阿富汗,16,16,5,-,-
约旦,12,13,12,1,-
马尔代夫,13,13,0,-,-
波斯尼亚和黑塞哥维那,13,13,2,-,-
突尼斯,13,13,6,-,-
斯里兰卡,11,12,1,1,-
委内瑞拉,10,10,8,-,-
哈萨克斯坦,8,8,2,-,-
新西兰,8,8,2,-,-
立陶宛,8,8,2,-,-
摩尔多瓦,8,8,2,-,-
加纳,6,6,4,-,-
乌拉圭,6,6,2,-,-
卢旺达,5,5,4,-,-
孟加拉国,3,5,2,2,-
柬埔寨,4,5,2,1,-
法属圭亚那,4,5,0,-,1
多米尼加共和国,5,5,0,-,-
科特迪瓦,4,4,3,-,-
列支敦士登,4,4,0,-,-
古巴,4,4,1,-,-
亚美尼亚,4,4,3,-,-
肯尼亚,3,3,2,-,-
刚果,3,3,1,-,-
喀麦隆,3,3,0,-,-
留尼汪岛,3,3,3,-,-
乌克兰,3,3,2,-,-
危地马拉,1,2,1,-,1
塞舌尔,2,2,2,-,-
纳米比亚,2,2,2,-,-
泽西岛,2,2,2,-,-
波多黎各,2,2,2,-,-
安道尔,0,2,1,2,-
摩纳哥,2,2,1,-,-
洪都拉斯,2,2,0,-,-
玻利维亚,2,2,2,-,-
巴拉圭,2,2,1,-,-
圣马丁岛,2,2,0,-,-
马提尼克,2,2,0,-,-
布基纳法索,2,2,2,-,-
尼日利亚,2,2,1,-,-
巴哈马,1,1,1,-,-
中非,1,1,0,-,-
乌兹别克斯坦,1,1,1,-,-
刚果,1,1,1,-,-
赤道几内亚,1,1,1,-,-
斯威士兰,1,1,1,-,-
圣文森特岛,1,1,1,-,-
毛里塔尼亚,1,1,1,-,-
几内亚,1,1,1,-,-
苏里南,1,1,1,-,-
安提瓜和巴布达,1,1,1,-,-
苏丹,0,1,0,-,1
圭亚那,1,1,1,-,-
埃塞俄比亚,1,1,0,-,-
特立尼达和多巴哥,1,1,1,-,-
加蓬,1,1,1,-,-
牙买加,1,1,1,-,-
根西岛,1,1,0,-,-
法罗群岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
蒙古,1,1,1,-,-
直布罗陀,1,1,0,-,-
多哥,1,1,1,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
尼泊尔,0,1,0,1,-
