地区,确诊,死亡,治愈
意大利,24938,1809,1966
伊朗,13938,724,4590
韩国,8236,75,1137
西班牙,7753,288,571
德国,5813,13,49
法国,5423,127,33
美国,3774,69,10
瑞士,2200,13,3
日本,1530,31,525
英国,1372,35,8
荷兰,1135,20,0
挪威,1109,3,0
瑞典,1023,3,0
比利时,886,4,0
丹麦,864,3,0
奥地利,860,2,6
马来西亚,428,0,42
卡塔尔,401,0,4
澳大利亚,355,5,27
希腊,331,4,0
加拿大,313,1,4
捷克,253,0,0
芬兰,244,0,1
新加坡,226,0,105
巴林,214,0,60
以色列,213,0,4
巴西,200,0,0
斯洛文尼亚,181,1,0
冰岛,177,0,0
爱尔兰,169,2,0
菲律宾,140,11,2
爱沙尼亚,135,0,0
埃及,126,2,21
波兰,125,3,13
伊拉克,124,9,26
罗马尼亚,123,0,6
沙特阿拉伯,118,0,3
印度尼西亚,117,5,8
泰国,114,1,35
科威特,112,0,9
葡萄牙,112,0,0
印度,110,2,13
黎巴嫩,99,3,1
阿联酋,98,0,26
圣马力诺,98,7,2
卢森堡,77,1,0
智利,75,0,0
秘鲁,71,0,0
俄罗斯,63,0,8
南非,61,0,1
斯洛伐克,61,0,0
越南,57,0,16
巴基斯坦,53,0,2
墨西哥,53,0,1
保加利亚,51,2,0
文莱,50,0,0
塞尔维亚,48,0,0
克罗地亚,46,0,0
阿尔及利亚,45,3,12
阿根廷,45,2,0
巴拿马,43,1,0
阿尔巴尼亚,42,1,0
巴勒斯坦,35,0,0
哥斯达黎加,35,0,0
哥伦比亚,34,0,0
格鲁吉亚,33,0,0
匈牙利,32,1,1
拉脱维亚,30,0,0
厄瓜多尔,28,1,0
摩洛哥,28,2,1
白俄罗斯,27,0,3
亚美尼亚,26,0,0
塞内加尔,24,0,2
波黑,24,0,0
阿塞拜疆,23,1,6
摩尔多瓦,23,0,0
阿曼,22,0,9
塞浦路斯,21,0,0
突尼斯,20,0,0
斯里兰卡,19,0,1
北马其顿,18,0,0
马耳他,18,0,0
土耳其,18,0,0
委内瑞拉,17,0,0
阿富汗,16,0,0
约旦,13,0,1
马尔代夫,13,0,0
柬埔寨,12,0,1
立陶宛,12,0,0
新西兰,8,0,0
哈萨克斯坦,8,0,0
摩纳哥,7,0,0
布基纳法索,7,0,0
牙买加,7,0,0
巴拉圭,6,0,0
法属圭亚那,6,1,0
马提尼克岛,6,0,0
乌拉圭,6,0,0
多米尼加,5,0,0
孟加拉国,5,0,2
卢旺达,5,0,0
法属留尼汪岛,5,0,0
喀麦隆,4,0,0
列支敦士登,4,0,0
科特迪瓦,4,0,0
古巴,4,0,0
埃塞俄比亚,4,0,0
乌克兰,3,1,0
法罗群岛,3,0,0
玻利维亚,3,0,0
肯尼亚,3,0,0
波多黎各,3,0,0
刚果（金）,3,0,0
尼日利亚,2,0,0
安道尔,2,0,0
圣马丁岛,2,0,0
洪都拉斯,2,0,0
加纳,2,0,0
纳米比亚,2,0,0
塞舌尔,2,0,0
尼泊尔,1,0,1
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
多哥共和国,1,0,0
蒙古,1,0,0
圭亚那,1,0,0
加蓬,1,0,0
危地马拉,1,0,0
苏丹,1,1,0
斯威士兰,1,0,0
几内亚,1,0,0
毛里塔尼亚,1,0,0
赤道几内亚,1,0,0
特立尼达和多巴哥,1,0,0
安提瓜和巴布达,1,0,0
苏里南,1,0,0
刚果（布）,1,0,0
乌兹别克斯坦,1,0,0
中非共和国,1,0,0
巴哈马,1,0,0
