地区,确诊,死亡,治愈
意大利,18025,1266,1439
伊朗,12729,611,3529
韩国,8086,72,510
西班牙,5753,136,517
德国,3884,8,46
法国,3792,79,33
美国,2204,49,10
日本,1443,28,525
瑞士,1189,11,3
英国,1140,21,8
挪威,996,0,0
荷兰,959,10,0
丹麦,801,0,0
瑞典,775,2,0
比利时,689,4,0
奥地利,602,1,6
卡塔尔,338,0,0
马来西亚,238,0,35
澳大利亚,236,3,22
新加坡,212,0,105
巴林,211,0,60
加拿大,198,1,4
希腊,190,2,0
芬兰,155,0,1
以色列,154,0,3
捷克,141,0,0
斯洛文尼亚,141,0,0
冰岛,128,0,0
葡萄牙,112,0,0
菲律宾,111,8,2
科威特,100,0,5
巴西,98,0,0
印度尼西亚,96,4,5
埃及,93,2,21
黎巴嫩,93,3,1
伊拉克,93,9,24
爱尔兰,90,1,0
沙特阿拉伯,86,0,1
阿联酋,85,0,20
印度,84,2,10
泰国,82,1,35
圣马力诺,73,5,2
罗马尼亚,70,0,6
爱沙尼亚,68,0,0
波兰,68,2,0
越南,53,0,16
俄罗斯,45,0,8
智利,43,0,0
塞尔维亚,41,0,0
文莱,40,0,0
克罗地亚,37,0,0
巴拿马,36,1,0
巴勒斯坦,35,0,0
卢森堡,34,1,0
阿根廷,34,2,0
阿尔巴尼亚,33,1,0
斯洛伐克,32,0,0
巴基斯坦,30,0,1
保加利亚,30,0,0
秘鲁,28,0,0
阿尔及利亚,27,2,10
墨西哥,26,0,1
格鲁吉亚,25,0,0
南非,24,0,1
厄瓜多尔,23,1,0
哥斯达黎加,22,0,0
塞内加尔,21,0,2
阿曼,20,0,9
阿塞拜疆,19,1,0
匈牙利,19,0,1
拉脱维亚,18,0,0
塞浦路斯,14,0,0
北马其顿,13,0,0
突尼斯,13,0,0
波黑,13,0,0
哥伦比亚,13,0,0
白俄罗斯,12,0,3
阿富汗,10,0,0
马尔代夫,10,0,0
马耳他,9,0,0
亚美尼亚,8,0,0
摩尔多瓦,8,0,0
摩洛哥,7,2,0
斯里兰卡,6,0,1
新西兰,6,0,0
立陶宛,6,0,0
巴拉圭,6,0,0
法属圭亚那,6,0,0
哈萨克斯坦,6,0,0
柬埔寨,5,0,1
多米尼加,5,0,0
土耳其,5,0,0
列支敦士登,4,0,0
马提尼克岛,4,0,0
古巴,4,0,0
乌拉圭,4,0,0
乌克兰,3,1,0
喀麦隆,3,0,0
孟加拉国,3,0,0
玻利维亚,3,0,0
法属留尼汪岛,3,0,0
尼日利亚,2,0,0
摩纳哥,2,0,0
安道尔,2,0,0
圣马丁岛,2,0,0
法罗群岛,2,0,0
布基纳法索,2,0,0
刚果共和国,2,0,0
洪都拉斯,2,0,0
加纳,2,0,0
委内瑞拉,2,0,0
波多黎各,2,0,0
纳米比亚,2,0,0
尼泊尔,1,0,1
约旦,1,0,1
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
多哥共和国,1,0,0
蒙古,1,0,0
牙买加,1,0,0
科特迪瓦,1,0,0
圭亚那,1,0,0
加蓬,1,0,0
肯尼亚,1,0,0
埃塞俄比亚,1,0,0
危地马拉,1,0,0
苏丹,1,1,0
斯威士兰,1,0,0
几内亚,1,0,0
卢旺达,1,0,0
毛里塔尼亚,1,0,0
赤道几内亚,1,0,0
