地区,确诊,死亡,治愈
意大利,9220,463,622
伊朗,8042,291,2731
韩国,7513,60,166
西班牙,1646,35,3
法国,1412,25,12
日本,1277,19,427
德国,1139,2,15
美国,717,26,10
瑞士,476,3,3
荷兰,382,3,0
瑞典,326,0,0
英国,319,6,8
比利时,267,0,0
挪威,169,0,0
新加坡,166,0,93
奥地利,157,0,0
丹麦,156,0,0
马来西亚,129,0,24
巴林,109,0,14
澳大利亚,101,3,22
希腊,89,0,0
加拿大,77,1,4
阿联酋,74,0,12
科威特,69,0,0
伊拉克,67,7,0
冰岛,60,0,0
埃及,59,1,1
印度,58,0,3
泰国,53,1,31
以色列,50,0,3
圣马力诺,49,2,0
黎巴嫩,41,1,1
芬兰,40,0,1
捷克,40,0,0
菲律宾,35,1,0
越南,34,0,16
印度尼西亚,27,0,0
巴西,25,0,0
斯洛文尼亚,25,0,0
巴勒斯坦,25,0,0
爱尔兰,24,0,0
俄罗斯,20,0,3
阿尔及利亚,20,0,0
沙特阿拉伯,20,0,0
阿曼,18,0,9
巴基斯坦,18,0,1
卡塔尔,18,0,0
葡萄牙,18,0,0
波兰,18,0,0
罗马尼亚,17,0,3
阿根廷,17,1,0
格鲁吉亚,15,0,0
厄瓜多尔,15,0,0
克罗地亚,13,0,0
智利,13,0,0
爱沙尼亚,12,0,0
阿塞拜疆,11,0,0
白俄罗斯,9,0,3
匈牙利,9,0,0
秘鲁,9,0,0
哥斯达黎加,9,0,0
拉脱维亚,8,0,0
北马其顿,7,0,0
墨西哥,7,0,1
南非,7,0,1
斯洛伐克,7,0,0
马尔代夫,6,0,0
阿尔巴尼亚,6,0,0
文莱,6,0,0
阿富汗,5,0,0
新西兰,5,0,0
卢森堡,5,0,0
多米尼加,5,0,0
突尼斯,5,0,0
波黑,5,0,0
法属圭亚那,5,0,0
塞内加尔,4,0,0
保加利亚,4,0,0
塞尔维亚,4,0,0
摩洛哥,3,0,0
哥伦比亚,3,0,0
孟加拉国,3,0,0
柬埔寨,2,0,1
尼日利亚,2,0,0
喀麦隆,2,0,0
圣马丁岛,2,0,0
马提尼克岛,2,0,0
塞浦路斯,2,0,0
布基纳法索,2,0,0
尼泊尔,1,0,1
斯里兰卡,1,0,1
立陶宛,1,0,0
摩纳哥,1,0,0
亚美尼亚,1,0,0
安道尔,1,0,0
约旦,1,0,0
乌克兰,1,0,0
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
列支敦士登,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
马耳他,1,0,0
巴拉圭,1,0,0
摩尔多瓦,1,0,0
多哥共和国,1,0,0
法罗群岛,1,0,0
蒙古,1,0,0
巴拿马,1,0,0
刚果共和国,1,0,0
