地区,现存确诊,累计确诊,新增确诊,累计治愈,累计死亡
湖北省,13148,67786,5,51576,3062
广东省,51,1356,0,1297,8
河南省,2,1273,0,1249,22
浙江省,5,1215,0,1209,1
湖南省,9,1018,0,1005,4
安徽省,0,990,0,984,6
江西省,0,935,0,934,1
山东省,14,760,0,739,7
江苏省,0,631,0,631,-
重庆市,6,576,0,564,6
四川省,32,539,0,504,3
黑龙江省,23,482,0,446,13
北京市,86,436,1,342,8
上海市,19,346,2,324,3
河北省,2,318,0,310,6
福建省,0,296,0,295,1
广西壮族自治区,7,252,0,243,2
陕西省,11,245,0,232,2
云南省,2,174,0,170,2
海南省,2,168,0,160,6
贵州省,4,146,0,140,2
天津市,1,136,0,132,3
中国香港,53,134,2,77,4
山西省,0,133,0,133,-
甘肃省,37,127,0,88,2
辽宁省,12,125,0,112,1
吉林省,1,93,0,91,1
新疆维吾尔自治区,0,76,0,73,3
宁夏回族自治区,3,75,0,72,-
内蒙古自治区,3,75,0,71,1
中国台湾,29,50,1,20,1
青海省,0,18,0,18,-
中国澳门,0,10,0,10,-
西藏自治区,0,1,0,1,-
意大利,13111,15385,2651,1258,1016
伊朗,7574,11364,1289,3276,514
韩国,7574,7979,110,333,72
西班牙,3929,4209,830,189,91
德国,3064,3117,802,46,7
法国,2803,2876,595,12,61
美国,1690,1762,178,31,41
瑞士,998,1009,170,4,7
挪威,826,828,214,1,1
荷兰,794,804,111,-,10
英国,770,798,78,18,10
丹麦,784,785,160,1,-
日本,602,725,56,102,21
钻石公主号邮轮,365,697,1,325,7
瑞典,686,687,183,-,1
比利时,552,556,28,1,3
奥地利,423,428,115,4,1
卡塔尔,262,262,238,-,-
巴林,166,210,6,44,-
新加坡,104,200,9,96,-
马来西亚,171,197,9,26,-
澳大利亚,165,195,22,26,4
加拿大,146,158,46,11,1
芬兰,154,155,44,1,-
以色列,123,126,9,3,-
捷克,117,117,35,-,-
希腊,116,117,18,-,1
冰岛,109,109,19,-,-
科威特,95,100,8,5,-
斯洛文尼亚,96,96,32,-,-
阿联酋,65,85,11,20,-
伊拉克,51,83,10,24,8
印度,77,81,10,3,1
埃及,58,80,13,20,2
黎巴嫩,73,77,5,1,3
巴西,77,77,25,-,-
泰国,40,75,5,34,1
罗马尼亚,64,70,18,6,-
爱尔兰,69,70,27,-,1
印度尼西亚,66,69,8,2,1
菲律宾,57,64,3,2,5
沙特阿拉伯,62,62,17,-,-
圣马力诺,60,62,11,-,2
葡萄牙,59,59,18,-,-
越南,31,47,5,16,-
波兰,46,47,9,-,1
俄罗斯,37,45,6,8,-
爱沙尼亚,41,41,1,-,-
文莱,37,37,5,-,-
智利,33,33,10,-,-
克罗地亚,29,31,8,2,-
塞尔维亚,31,31,5,-,-
巴勒斯坦,31,31,1,-,-
阿根廷,30,31,10,-,1
巴拿马,26,27,19,-,1
卢森堡,26,26,19,-,-
阿尔及利亚,14,26,6,10,2
格鲁吉亚,25,25,1,-,-
南非,24,24,4,-,-
阿尔巴尼亚,23,23,8,-,-
保加利亚,23,23,16,-,-
巴基斯坦,21,22,1,1,-
秘鲁,22,22,5,-,-
哥斯达黎加,22,22,9,-,-
阿塞拜疆,15,19,2,3,1
阿曼,10,19,1,9,-
厄瓜多尔,17,17,2,-,-
匈牙利,16,16,3,-,-
拉脱维亚,16,16,6,-,-
斯洛伐克,16,16,6,-,-
墨西哥,14,15,4,1,-
波斯尼亚和黑塞哥维那,13,13,2,-,-
突尼斯,13,13,6,-,-
白俄罗斯,9,12,1,3,-
塞内加尔,8,10,5,2,-
塞浦路斯,10,10,4,-,-
马尔代夫,8,8,2,-,-
北马其顿,7,7,1,-,-
摩尔多瓦,6,6,1,-,-
摩洛哥,4,6,1,-,2
柬埔寨,4,5,2,1,-
法属圭亚那,4,5,0,-,1
阿富汗,5,5,1,-,-
多米尼加共和国,5,5,0,-,-
新西兰,5,5,1,-,-
古巴,4,4,1,-,-
亚美尼亚,4,4,3,-,-
马耳他,4,4,1,-,-
哈萨克斯坦,3,3,0,-,-
乌克兰,3,3,2,-,-
斯里兰卡,2,3,0,1,-
立陶宛,3,3,0,-,-
哥伦比亚,3,3,2,-,-
孟加拉国,3,3,0,-,-
土耳其,2,2,1,-,-
加纳,2,2,2,-,-
刚果,2,2,1,-,-
安道尔,0,2,1,2,-
摩纳哥,2,2,1,-,-
洪都拉斯,2,2,0,-,-
玻利维亚,2,2,2,-,-
巴拉圭,2,2,1,-,-
圣马丁岛,2,2,0,-,-
马提尼克,2,2,0,-,-
布基纳法索,2,2,2,-,-
尼日利亚,2,2,1,-,-
喀麦隆,2,2,1,-,-
苏丹,1,1,0,-,-
埃塞俄比亚,1,1,0,-,-
几内亚,1,1,0,-,-
肯尼亚,1,1,0,-,-
特立尼达和多巴哥,1,1,1,-,-
加蓬,1,1,1,-,-
科特迪瓦,1,1,1,-,-
牙买加,1,1,1,-,-
根西岛,1,1,0,-,-
法罗群岛,1,1,0,-,-
圣巴泰勒米岛,1,1,0,-,-
蒙古,1,1,1,-,-
直布罗陀,1,1,0,-,-
多哥,1,1,1,-,-
列支敦士登,1,1,0,-,-
梵蒂冈,1,1,0,-,-
不丹,1,1,0,-,-
约旦,1,1,0,-,-
尼泊尔,0,1,0,1,-
