地区,确诊,死亡,治愈
意大利,41086,3405,4440
伊朗,18407,1284,5979
西班牙,17147,767,1028
德国,13979,42,135
美国,13350,188,106
法国,10995,372,602
韩国,8652,94,2233
瑞士,3888,33,3
英国,3269,144,18
荷兰,2460,76,0
奥地利,2013,3,9
比利时,1795,21,15
挪威,1758,7,0
日本,1677,40,699
瑞典,1279,10,0
丹麦,1151,6,0
马来西亚,900,2,75
加拿大,873,12,4
澳大利亚,787,7,27
葡萄牙,785,1,0
捷克,694,0,3
以色列,677,0,12
巴西,621,4,0
爱尔兰,557,3,0
卡塔尔,452,0,4
巴基斯坦,448,1,3
希腊,418,5,14
芬兰,400,0,1
土耳其,359,4,0
新加坡,345,0,114
智利,342,0,5
卢森堡,335,4,0
泰国,322,1,43
印度尼西亚,309,25,15
罗马尼亚,277,0,6
沙特阿拉伯,274,0,6
巴林,269,1,81
厄瓜多尔,260,2,0
爱沙尼亚,258,0,0
埃及,256,7,28
斯洛文尼亚,253,1,0
波兰,238,5,13
秘鲁,234,1,0
冰岛,220,0,0
菲律宾,217,17,8
俄罗斯,199,1,8
印度,195,4,14
伊拉克,192,13,49
墨西哥,164,1,1
黎巴嫩,158,3,1
南非,150,0,1
科威特,148,0,18
阿联酋,140,0,31
巴拿马,135,1,0
斯洛伐克,123,1,0
亚美尼亚,122,0,1
圣马力诺,109,14,2
塞尔维亚,103,0,0
阿根廷,97,2,0
乌拉圭,94,0,2
保加利亚,92,2,0
阿尔及利亚,90,8,32
哥斯达黎加,87,1,0
拉脱维亚,86,0,0
越南,85,0,16
安道尔,75,0,1
哥伦比亚,75,0,0
匈牙利,73,1,2
文莱,73,0,0
约旦,70,0,1
塞浦路斯,67,0,0
波黑,64,0,0
斯里兰卡,60,0,1
摩洛哥,58,2,1
克罗地亚,57,0,4
阿尔巴尼亚,55,1,0
白俄罗斯,51,0,3
摩尔多瓦,49,1,1
哈萨克斯坦,49,0,0
巴勒斯坦,47,0,0
委内瑞拉,42,0,0
立陶宛,41,0,0
格鲁吉亚,40,0,1
阿曼,39,0,13
新西兰,39,0,0
突尼斯,39,0,0
马耳他,38,0,0
塞内加尔,36,0,2
柬埔寨,35,0,1
北马其顿,35,0,0
多米尼加,34,2,0
阿塞拜疆,28,1,6
阿富汗,24,0,0
洪都拉斯,24,0,0
乌兹别克斯坦,23,0,0
乌克兰,21,2,0
孟加拉国,17,1,3
古巴,16,1,0
布基纳法索,15,1,0
牙买加,15,1,0
刚果（金）,14,0,0
喀麦隆,13,0,0
马尔代夫,13,0,0
尼日利亚,12,0,1
摩纳哥,11,0,0
巴拉圭,11,0,0
玻利维亚,11,0,0
卢旺达,11,0,0
黑山,10,0,0
多哥共和国,9,0,1
加纳,9,0,0
埃塞俄比亚,9,0,0
肯尼亚,7,0,0
毛里求斯,7,0,0
法属圭亚那,6,1,0
马提尼克岛,6,0,0
蒙古,6,0,0
科特迪瓦,6,0,1
坦桑尼亚,6,0,0
吉尔吉斯斯坦,6,0,0
圭亚那,5,1,0
法属留尼汪岛,5,0,0
列支敦士登,4,0,0
塞舌尔,4,0,0
危地马拉,3,1,0
法罗群岛,3,0,0
加蓬,3,0,0
波多黎各,3,0,0
赤道几内亚,3,0,0
圣马丁岛,2,0,0
纳米比亚,2,0,0
苏里南,2,0,0
巴巴多斯,2,0,0
赞比亚,2,0,0
苏丹,1,1,0
尼泊尔,1,0,1
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
斯威士兰,1,0,0
几内亚,1,0,0
毛里塔尼亚,1,0,0
特立尼达和多巴哥,1,0,0
安提瓜和巴布达,1,0,0
刚果（布）,1,0,0
中非共和国,1,0,0
巴哈马,1,0,0
贝宁,1,0,0
索马里,1,0,0
利比里亚,1,0,0
冈比亚,1,0,0
斐济,1,0,0
尼加拉瓜,1,0,0
萨尔瓦多,1,0,0
格陵兰,1,0,0
乍得,1,0,0
