地区,确诊,死亡,治愈
美国,85991,1296,753
意大利,80539,8165,10361
西班牙,57786,4465,7015
德国,43938,267,5673
法国,29566,1698,4955
伊朗,29406,2234,10457
英国,11813,580,150
瑞士,11811,191,131
韩国,9332,139,4528
荷兰,7469,435,6
奥地利,6909,49,112
比利时,6235,220,675
加拿大,4046,40,202
土耳其,3629,75,26
葡萄牙,3544,60,43
挪威,3372,14,6
澳大利亚,3166,13,194
以色列,3035,10,79
巴西,2985,77,6
瑞典,2840,77,16
日本,2159,58,960
捷克,2062,9,10
马来西亚,2031,24,215
丹麦,2026,41,50
爱尔兰,1819,19,5
卢森堡,1453,9,6
厄瓜多尔,1382,34,3
智利,1306,3,22
波兰,1221,16,13
巴基斯坦,1179,9,21
泰国,1136,5,97
沙特阿拉伯,1012,3,29
南非,927,2,1
罗马尼亚,907,17,64
印度尼西亚,893,78,30
希腊,892,26,19
芬兰,880,5,1
俄罗斯,840,2,38
冰岛,802,2,0
印度,724,17,66
菲律宾,707,45,26
新加坡,683,2,140
巴拿马,674,8,2
阿根廷,589,12,0
墨西哥,585,8,4
秘鲁,580,9,14
卡塔尔,549,0,43
爱沙尼亚,538,1,34
斯洛文尼亚,528,5,10
埃及,495,24,102
哥伦比亚,491,6,8
克罗地亚,481,1,22
塞尔维亚,457,4,0
巴林,457,4,204
多米尼加,392,10,3
伊拉克,382,36,107
黎巴嫩,368,6,20
阿尔及利亚,367,25,32
新西兰,338,0,37
阿联酋,333,2,52
立陶宛,290,4,1
亚美尼亚,290,0,18
摩洛哥,275,10,8
保加利亚,264,3,4
匈牙利,261,10,28
拉脱维亚,244,0,1
乌拉圭,238,0,6
哥斯达黎加,231,2,2
斯洛伐克,226,0,7
安道尔,220,1,1
约旦,212,0,1
圣马力诺,208,21,4
科威特,208,0,49
突尼斯,197,5,2
乌克兰,196,5,1
波黑,185,3,2
北马其顿,177,3,1
摩尔多瓦,177,1,2
阿尔巴尼亚,174,5,17
越南,153,0,17
布基纳法索,152,7,10
加纳,132,4,0
塞浦路斯,132,3,3
马耳他,129,0,2
阿塞拜疆,122,3,10
哈萨克斯坦,121,1,3
文莱,114,0,5
阿曼,109,0,23
委内瑞拉,107,1,15
斯里兰卡,106,0,7
塞内加尔,105,0,9
柬埔寨,96,0,10
科特迪瓦,96,0,3
阿富汗,95,2,2
白俄罗斯,86,0,29
巴勒斯坦,84,1,17
乌兹别克斯坦,83,0,5
毛里求斯,81,2,0
格鲁吉亚,77,0,10
喀麦隆,75,1,3
瓜德罗普,73,1,0
科索沃,71,1,0
洪都拉斯,68,1,0
尼日利亚,65,1,3
特立尼达和多巴哥,60,1,0
古巴,57,1,1
黑山,53,0,0
刚果（金）,51,4,2
列支敦士登,51,0,0
卢旺达,50,0,0
孟加拉国,48,5,11
吉尔吉斯斯坦,44,0,0
巴拉圭,41,3,0
玻利维亚,38,0,0
关岛,37,1,0
摩纳哥,33,0,1
肯尼亚,31,1,1
马约特岛,30,0,0
牙买加,26,1,2
法属波利尼西亚,25,0,0
危地马拉,24,1,4
多哥共和国,23,0,1
马达加斯加,23,0,0
阿鲁巴,19,0,0
泽西岛,18,0,0
巴巴多斯,18,0,0
美属维尔京群岛,17,0,0
赞比亚,16,0,0
乌干达,14,0,0
马尔代夫,13,0,0
坦桑尼亚,13,0,1
赤道几内亚,12,0,0
埃塞俄比亚,12,0,0
法属圭亚那,11,1,0
蒙古,11,0,0
多米尼克,11,0,0
吉布提,11,0,0
尼日尔,8,1,0
纳米比亚,8,0,0
斯威士兰,8,0,0
苏里南,8,0,0
海地,8,0,0
加蓬,7,1,0
莫桑比克,7,0,0
塞舌尔,7,0,0
老挝,6,0,0
马提尼克岛,6,0,0
贝宁,6,0,0
厄立特里亚,6,0,0
津巴布韦,5,1,0
圭亚那,5,1,0
开曼群岛,5,1,0
叙利亚,5,0,0
巴哈马,5,0,0
法属留尼汪岛,5,0,0
斐济,5,0,0
缅甸,5,0,0
佛得角,4,1,0
几内亚,4,0,0
中非共和国,4,0,0
刚果（布）,4,0,0
安哥拉,4,0,0
梵蒂冈,4,0,0
冈比亚,3,1,0
苏丹,3,1,0
圣巴泰勒米,3,0,0
法罗群岛,3,0,0
毛里塔尼亚,3,0,0
波多黎各,3,0,0
利比里亚,3,0,0
乍得,3,0,0
直布罗陀,3,0,0
荷属安的列斯,3,0,0
利比亚,3,0,0
安提瓜和巴布达,3,0,0
圣卢西亚,3,0,0
尼泊尔,3,0,1
索马里,2,0,0
马里,2,0,0
伯利兹,2,0,0
尼加拉瓜,2,0,0
圣马丁岛,2,0,0
圣基茨和尼维斯,2,0,0
几内亚比绍,2,0,0
不丹,2,0,0
波斯尼亚,1,0,0
蒙特塞拉特,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
格林纳达,1,0,0
萨尔瓦多,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
