地区,确诊,死亡,治愈
意大利,35713,2978,4025
伊朗,17361,1135,5710
西班牙,13716,491,1028
德国,11973,28,135
法国,9134,264,602
美国,9088,145,106
韩国,8565,93,1947
瑞士,3028,21,3
英国,2626,71,18
荷兰,2051,58,0
日本,1635,39,699
挪威,1562,6,0
比利时,1486,14,15
奥地利,1332,3,9
瑞典,1119,7,0
丹麦,1057,4,0
马来西亚,790,2,60
加拿大,648,9,4
葡萄牙,642,1,0
澳大利亚,596,6,27
捷克,522,0,3
巴西,514,4,0
卡塔尔,452,0,4
以色列,433,0,11
希腊,418,5,14
爱尔兰,366,2,0
芬兰,359,0,1
新加坡,313,0,114
爱沙尼亚,258,0,0
斯洛文尼亚,253,1,0
波兰,238,5,13
巴林,237,1,81
巴基斯坦,235,1,3
印度尼西亚,227,19,11
冰岛,220,0,0
泰国,212,1,42
埃及,210,6,28
卢森堡,203,2,0
菲律宾,202,17,7
智利,201,0,0
土耳其,191,2,0
印度,169,3,14
厄瓜多尔,168,2,0
罗马尼亚,158,0,6
伊拉克,154,11,41
俄罗斯,147,0,8
秘鲁,145,0,0
科威特,142,0,12
沙特阿拉伯,133,0,6
墨西哥,118,1,1
南非,116,0,1
阿联酋,113,0,26
亚美尼亚,110,0,1
圣马力诺,109,14,2
黎巴嫩,109,3,1
巴拿马,109,1,0
斯洛伐克,105,1,0
保加利亚,92,2,0
塞尔维亚,89,0,0
阿根廷,79,2,0
越南,76,0,16
哥伦比亚,75,0,0
阿尔及利亚,72,6,12
哥斯达黎加,69,1,0
匈牙利,58,1,2
塞浦路斯,58,0,0
克罗地亚,57,0,4
约旦,57,0,1
阿尔巴尼亚,55,1,0
摩洛哥,54,2,1
安道尔,54,0,1
文莱,54,0,0
白俄罗斯,51,0,3
斯里兰卡,50,0,1
乌拉圭,50,0,0
巴勒斯坦,41,0,0
阿曼,39,0,13
格鲁吉亚,38,0,1
马耳他,38,0,0
哈萨克斯坦,37,0,0
委内瑞拉,36,0,0
柬埔寨,35,0,1
拉脱维亚,34,0,0
北马其顿,31,0,0
塞内加尔,31,0,2
摩尔多瓦,30,1,1
新西兰,28,0,0
波黑,24,0,0
阿塞拜疆,23,1,6
阿富汗,22,0,0
立陶宛,22,0,0
多米尼加,21,1,0
突尼斯,20,0,0
乌克兰,16,2,0
布基纳法索,15,1,0
孟加拉国,14,1,2
刚果（金）,14,0,0
马尔代夫,13,0,0
乌兹别克斯坦,13,0,0
巴拉圭,11,0,0
玻利维亚,11,0,0
卢旺达,11,0,0
摩纳哥,9,0,0
洪都拉斯,9,0,0
尼日利亚,8,0,1
牙买加,7,0,0
肯尼亚,7,0,0
法属圭亚那,6,1,0
马提尼克岛,6,0,0
蒙古,6,0,0
科特迪瓦,6,0,1
古巴,6,0,0
加纳,6,0,0
法属留尼汪岛,5,0,0
喀麦隆,4,0,0
列支敦士登,4,0,0
埃塞俄比亚,4,0,0
塞舌尔,4,0,0
危地马拉,3,1,0
法罗群岛,3,0,0
波多黎各,3,0,0
吉尔吉斯斯坦,3,0,0
毛里求斯,3,0,0
圣马丁岛,2,0,0
纳米比亚,2,0,0
黑山,2,0,0
巴巴多斯,2,0,0
赞比亚,2,0,0
苏丹,1,1,0
尼泊尔,1,0,1
波斯尼亚,1,0,0
不丹,1,0,0
梵蒂冈,1,0,0
直布罗陀,1,0,0
圣巴托洛谬岛,1,0,0
多哥共和国,1,0,0
圭亚那,1,0,0
加蓬,1,0,0
斯威士兰,1,0,0
几内亚,1,0,0
毛里塔尼亚,1,0,0
赤道几内亚,1,0,0
特立尼达和多巴哥,1,0,0
安提瓜和巴布达,1,0,0
苏里南,1,0,0
刚果（布）,1,0,0
中非共和国,1,0,0
巴哈马,1,0,0
坦桑尼亚,1,0,0
贝宁,1,0,0
索马里,1,0,0
利比里亚,1,0,0
冈比亚,1,0,0
斐济,1,0,0
尼加拉瓜,1,0,0
萨尔瓦多,1,0,0
