地区,确诊,死亡,治愈
美国,189633,4081,7136
意大利,105792,12428,15729
西班牙,102136,9053,19259
德国,72383,793,16100
法国,52836,3532,9522
伊朗,47593,3036,14656
英国,25481,1793,179
瑞士,17139,433,1823
比利时,13964,828,2132
荷兰,13614,1173,253
土耳其,13531,214,243
奥地利,10418,148,1436
韩国,9887,162,5408
加拿大,8591,101,466
葡萄牙,8251,187,43
巴西,5812,203,127
以色列,5591,21,226
瑞典,4947,239,16
澳大利亚,4860,20,244
挪威,4705,41,13
捷克,3330,32,45
爱尔兰,3235,71,5
日本,3153,78,1043
丹麦,3039,90,77
马来西亚,2908,45,645
俄罗斯,2777,24,190
智利,2738,12,156
菲律宾,2311,96,50
波兰,2311,33,13
厄瓜多尔,2302,79,58
罗马尼亚,2245,69,220
卢森堡,2178,23,6
巴基斯坦,1940,26,58
泰国,1771,12,127
沙特阿拉伯,1720,16,264
印度尼西亚,1677,157,59
印度,1637,38,133
芬兰,1418,17,10
南非,1353,5,31
希腊,1314,49,42
墨西哥,1215,29,4
巴拿马,1181,30,9
冰岛,1135,2,198
多米尼加,1109,51,5
秘鲁,1065,30,394
塞尔维亚,1060,24,0
阿根廷,1054,27,240
新加坡,926,3,212
哥伦比亚,906,16,31
克罗地亚,867,6,67
斯洛文尼亚,802,15,10
卡塔尔,781,2,62
爱沙尼亚,745,4,34
阿尔及利亚,716,44,46
埃及,710,46,157
伊拉克,694,50,170
乌克兰,669,17,10
阿联酋,664,6,61
新西兰,647,1,74
摩洛哥,638,36,24
亚美尼亚,571,3,31
巴林,569,4,316
立陶宛,533,8,7
匈牙利,492,16,37
黎巴嫩,479,12,37
波黑,411,10,17
保加利亚,399,8,17
拉脱维亚,398,0,1
突尼斯,394,10,3
安道尔,376,12,10
斯洛伐克,363,1,7
摩尔多瓦,353,4,22
哥斯达黎加,347,2,4
哈萨克斯坦,343,2,24
乌拉圭,338,1,41
北马其顿,329,7,12
科威特,317,0,80
阿塞拜疆,298,5,26
约旦,274,5,30
塞浦路斯,262,6,4
布基纳法索,261,14,32
阿尔巴尼亚,243,15,52
喀麦隆,233,2,3
圣马力诺,230,25,13
越南,212,0,58
阿曼,210,1,34
阿富汗,196,4,2
加纳,195,5,3
塞内加尔,190,1,45
科特迪瓦,179,1,7
乌兹别克斯坦,172,2,7
古巴,170,4,4
马耳他,169,0,2
法罗群岛,159,0,0
白俄罗斯,152,1,47
尼日利亚,151,2,9
毛里求斯,147,5,0
斯里兰卡,142,2,16
洪都拉斯,141,7,3
委内瑞拉,135,3,39
巴勒斯坦,134,1,18
文莱,131,1,52
格鲁吉亚,115,0,22
刚果（金）,109,8,3
黑山,109,1,0
柬埔寨,109,0,23
玻利维亚,107,6,0
吉尔吉斯斯坦,107,0,0
科索沃,94,1,1
马提尼克岛,91,1,0
特立尼达和多巴哥,85,3,1
肯尼亚,81,1,3
卢旺达,75,0,0
瓜德罗普,73,1,0
巴拉圭,65,3,1
波多黎各,64,2,0
列支敦士登,64,0,0
马达加斯加,57,0,0
孟加拉国,54,6,25
摩纳哥,52,1,1
法属留尼汪岛,47,0,0
乌干达,44,0,0
关岛,37,1,0
多哥共和国,36,2,10
危地马拉,36,1,10
牙买加,36,1,2
赞比亚,36,0,0
尼日尔,34,3,0
巴巴多斯,34,0,0
马里,31,3,0
马约特岛,30,0,0
吉布提,30,0,0
埃塞俄比亚,29,0,2
法属波利尼西亚,25,0,0
萨尔瓦多,24,0,0
法属圭亚那,23,1,0
几内亚,22,0,1
坦桑尼亚,20,1,2
美属维尔京群岛,19,0,0
刚果（布）,19,0,0
阿鲁巴,19,0,0
加蓬,18,1,0
泽西岛,18,0,0
马尔代夫,18,0,13
缅甸,15,1,0
赤道几内亚,15,0,1
厄立特里亚,15,0,0
海地,15,0,1
蒙古,14,0,0
巴哈马,14,0,1
多米尼克,12,0,0
纳米比亚,11,0,0
叙利亚,10,1,0
塞舌尔,10,0,0
老挝,9,0,0
格林纳达,9,0,1
斯威士兰,9,0,0
苏里南,9,0,0
圣卢西亚,9,0,1
津巴布韦,8,1,0
圭亚那,8,1,0
莫桑比克,8,0,0
利比亚,8,0,0
几内亚比绍,8,0,0
苏丹,7,2,0
安哥拉,7,2,1
荷属安的列斯,7,1,0
乍得,7,0,0
圣基茨和尼维斯,7,0,0
安提瓜和巴布达,7,0,0
毛里塔尼亚,6,1,2
佛得角,6,1,0
贝宁,6,0,0
中非共和国,6,0,0
利比里亚,6,0,0
梵蒂冈,6,0,0
开曼群岛,5,1,0
蒙特塞拉特,5,0,0
索马里,5,0,0
斐济,5,0,0
尼泊尔,5,0,1
博茨瓦纳,4,1,0
尼加拉瓜,4,1,0
冈比亚,4,1,0
不丹,4,0,0
圣巴泰勒米,3,0,0
伯利兹,3,0,0
直布罗陀,3,0,0
布隆迪,2,0,0
圣马丁岛,2,0,0
波斯尼亚,1,0,0
萨尔多瓦,1,0,0
格陵兰,1,0,0
圣巴托洛谬岛,1,0,0
塞拉利昂,1,0,0
东帝汶,1,0,0
巴布亚新几内亚,1,0,0
圣文森特和格林纳丁斯,1,0,0
格恩西岛,1,0,0
